OID;Name;FolderPath;PopupInfo;x;y
1;Las Lagunas, Valdesia;Parcelas definitivas Vigilancia/Sur;Regional Central;-70,2774872;18,4165969
2;Manaclar;Parcelas definitivas Vigilancia/Sur;Regional Central;-70,3798708;18,3745559
3;Monte Bonito;Parcelas definitivas Vigilancia/Sur;Regional Central;-70,340666;18,4651635
4;Los Anones;Parcelas definitivas Vigilancia/Sur;Regional Central;-70,4082042;18,4934173
5;Proyecto El Bathiel;Parcelas definitivas Vigilancia/Sur;Regional Central;-70,4668276;18,6016219
6;La Colonia;Parcelas definitivas Vigilancia/Sur;Regional Central;-70,3883798;18,7032604
7;La Estrechura;Parcelas definitivas Vigilancia/Sur;Regional Central;-70,4658735;18,7198033
8;Anamuyita;Parcelas definitivas Vigilancia/Sur;Regional Sureste;-68,6736838;18,7198629
9;El 15;Parcelas definitivas Vigilancia/Sur;Regional Sureste;-69,3148935;18,8502261
10;Fica UASD;Parcelas definitivas Vigilancia/Sur;Regional Sureste;-70,2258263;18,484975
11;El Guineo;Parcelas definitivas Vigilancia/Sur;Regional Sureste;-70,274309;18,5232966
12;El Guazaral;Parcelas definitivas Vigilancia/Sur;Regional Suroeste;-70,8694282;18,7215328
13;Sobacon;Parcelas definitivas Vigilancia/Sur;Regional Sureste;-71,7322731;18,7076301
14;Los Montacitos;Parcelas definitivas Vigilancia/Sur;Regional Sureste;-71,0048691;18,8521671
15;El Pinal Naranjito;Parcelas definitivas Vigilancia/Sur;Regional Sureste;-70,7232387;18,6165671
16;Aguas Negras;Parcelas definitivas Vigilancia/Sur;Regional Sur;-71,7010615;18,1863089
17;Chene;Parcelas definitivas Vigilancia/Sur;Regional Sur;-71,2389435;17,9577994
18;Guayuyal;Parcelas definitivas Vigilancia/Sur;Regional Sur;-71,1499298;18,0732476
19;La Lanza;Parcelas definitivas Vigilancia/Sur;Regional Sur;-71,2381243;18,085306
20;Las Petacas;Parcelas definitivas Vigilancia/Sur;Regional Sur;-71,4563996;18,5815186
21;Los Bolos;Parcelas definitivas Vigilancia/Sur;Regional Sur;-71,6536794;18,6299302
22;El Cacique;Parcelas definitivas Vigilancia/Norte;Regional Norte;-70,8069744;19,197175
23;Las Placetas;Parcelas definitivas Vigilancia/Norte;Regional Norte;-70,8873988;19,2113569
24;Las Lagunas;Parcelas definitivas Vigilancia/Norte;Regional Norte;-70,9184684;19,1493102
25;La Cumbre de Santiago;Parcelas definitivas Vigilancia/Norte;Regional Norte;-70,6239701;19,5479658
26;Villa Trina;Parcelas definitivas Vigilancia/Norte;Regional Norte;-70,451154;19,4591717
27;El Rodeo;Parcelas definitivas Vigilancia/Norte;Regional Norcentral;-70,5486142;18,8818264
28;Arroyo Bonito;Parcelas definitivas Vigilancia/Norte;Regional Norcentral;-70,8019041;19,1152608
29;Manabao;Parcelas definitivas Vigilancia/Norte;Regional Norcentral;-70,7717497;19,041977
30;La Descubierta;Parcelas definitivas Vigilancia/Norte;Regional Norcentral;-70,5828789;18,9780907
31;Los Camarones;Parcelas definitivas Vigilancia/Norte;Regional Norcentral;-70,6051892;19,2325109
32;La Peonia;Parcelas definitivas Vigilancia/Norte;Regional Noroeste;-71,46333;19,2865913
33;El Aguacatico;Parcelas definitivas Vigilancia/Norte;Regional Noroeste;-71,2806748;19,2951767
34;Paradero;Parcelas definitivas Vigilancia/Norte;Regional Noroeste;-70,9307614;19,6663988
35;Mariano Cesteros;Parcelas definitivas Vigilancia/Norte;Regional Noroeste;-71,6751994;19,3487557
36;El Carrisal;Parcelas definitivas Vigilancia/Norte;Regional Noroeste;-71,6089656;19,3392733
37;Rio Limpio;Parcelas definitivas Vigilancia/Norte;Regional Noroeste;-71,5325398;19,248925
38;La Cumbre Monte LLano;Parcelas definitivas Vigilancia/Norte;Regional Nordeste;-70,3952814;19,4441618
39;El Diviso;Parcelas definitivas Vigilancia/Norte;Regional Nordeste;-70,310089;19,003557
40;Solimán;Parcelas definitivas Vigilancia/Norte;Regional Noroeste;-71,159135;19,763416
